ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-07 10:00:00,133,56,238.3,19,93,77
2026-09-07 11:00:00,133,54,237.2,18,90,77
2026-09-07 12:00:00,134,53,236.1,20,93,78
2026-09-07 13:00:00,132,55,236.2,17,92,77
2026-09-07 14:00:00,133,54,241.2,19,92,81
2026-09-07 15:00:00,132,59,235.4,19,96,76
2026-09-07 16:00:00,132,55,239.5,18,95,77
2026-09-07 17:00:00,132,54,240.2,19,90,76
2026-09-07 18:00:00,133,59,241.2,18,90,78
2026-09-07 19:00:00,131,53,234.1,18,90,74
2026-09-07 20:00:00,132,55,237.3,19,91,77
2026-09-07 21:00:00,132,54,245.5,18,94,80
2026-09-07 22:00:00,133,54,246.0,19,91,78
2026-09-07 23:00:00,132,56,244.0,18,91,75
2026-09-08 00:00:00,132,57,240.1,19,95,78
2026-09-08 01:00:00,132,56,238.9,19,92,79
2026-09-08 02:00:00,134,53,235.7,18,93,79
2026-09-08 03:00:00,134,57,233.0,19,89,79
2026-09-08 04:00:00,133,56,240.8,18,92,81
2026-09-08 05:00:00,131,50,236.7,18,91,80
2026-09-08 06:00:00,134,57,233.7,20,89,76
2026-09-08 07:00:00,132,57,239.4,20,91,77
2026-09-08 08:00:00,133,55,246.8,18,91,76
2026-09-08 09:00:00,131,56,239.4,18,93,78
2026-09-08 10:00:00,132,59,236.7,18,92,79
2026-09-08 11:00:00,133,50,240.0,19,92,75
2026-09-08 12:00:00,133,56,236.0,17,89,78
2026-09-08 13:00:00,131,53,236.7,19,94,76
2026-09-08 14:00:00,132,57,239.4,20,89,76
2026-09-08 15:00:00,134,54,233.2,19,91,78
2026-09-08 16:00:00,132,56,238.8,19,91,82
2026-09-08 17:00:00,132,52,237.5,19,93,78
2026-09-08 18:00:00,132,57,237.7,18,91,80
2026-09-08 19:00:00,134,53,236.3,17,90,78
2026-09-08 20:00:00,134,54,242.6,19,94,78
2026-09-08 21:00:00,133,57,234.8,19,89,79
2026-09-08 22:00:00,133,56,236.8,20,93,77
2026-09-08 23:00:00,134,54,239.1,19,93,75
2026-09-09 00:00:00,134,52,242.5,18,92,75
2026-09-09 01:00:00,132,55,234.3,19,92,78
2026-09-09 02:00:00,132,54,239.4,18,91,79
2026-09-09 03:00:00,133,54,237.2,19,90,78
2026-09-09 04:00:00,134,53,244.7,19,90,77
2026-09-09 05:00:00,134,54,240.0,19,90,78
2026-09-09 06:00:00,132,55,237.3,18,89,77
2026-09-09 07:00:00,132,59,234.1,18,94,75
2026-09-09 08:00:00,134,53,238.0,17,93,74
2026-09-09 09:00:00,133,57,237.7,18,91,77
2026-09-09 10:00:00,134,57,230.6,18,88,79
2026-09-09 11:00:00,133,50,237.7,18,91,78
2026-09-09 12:00:00,133,53,242.5,18,93,75
2026-09-09 13:00:00,132,55,239.7,19,92,80
2026-09-09 14:00:00,134,55,237.9,18,90,76
2026-09-09 15:00:00,132,52,237.7,18,91,74
2026-09-09 16:00:00,133,55,236.6,19,94,78
2026-09-09 17:00:00,132,56,236.0,18,96,80
2026-09-09 18:00:00,134,52,239.2,19,94,78
2026-09-09 19:00:00,132,55,236.6,19,91,76
2026-09-09 20:00:00,134,53,238.6,19,90,76
2026-09-09 21:00:00,134,55,240.1,19,91,80
2026-09-09 22:00:00,134,53,233.1,19,94,77
2026-09-09 23:00:00,134,54,233.6,17,92,75
2026-09-10 00:00:00,134,54,235.8,18,88,76
2026-09-10 01:00:00,132,58,236.7,17,88,77
2026-09-10 02:00:00,132,59,235.4,18,90,81
2026-09-10 03:00:00,133,59,235.6,18,88,79
2026-09-10 04:00:00,134,50,235.5,19,94,78
2026-09-10 05:00:00,134,56,235.8,17,96,83
2026-09-10 06:00:00,131,54,239.9,17,94,79
2026-09-10 07:00:00,134,53,236.4,18,94,83
2026-09-10 08:00:00,132,58,240.7,19,94,77
2026-09-10 09:00:00,134,55,241.4,18,90,78
2026-09-10 10:00:00,132,57,239.6,19,92,76
2026-09-10 11:00:00,134,57,233.7,18,92,78
2026-09-10 12:00:00,134,56,235.6,19,95,78
2026-09-10 13:00:00,133,54,240.0,19,91,84
2026-09-10 14:00:00,132,54,242.9,17,93,77
2026-09-10 15:00:00,134,55,232.5,19,90,80
2026-09-10 16:00:00,133,58,240.5,18,90,78
2026-09-10 17:00:00,133,57,235.2,19,90,79
2026-09-10 18:00:00,133,55,232.8,20,89,79
2026-09-10 19:00:00,132,55,240.1,20,92,79
2026-09-10 20:00:00,133,59,233.9,18,94,78
2026-09-10 21:00:00,133,53,233.8,19,96,75
2026-09-10 22:00:00,133,51,245.4,18,94,80
2026-09-10 23:00:00,133,53,232.9,17,90,74
2026-09-11 00:00:00,131,59,234.4,18,94,81
2026-09-11 01:00:00,131,53,237.8,19,94,79
2026-09-11 02:00:00,131,53,235.8,18,92,79
2026-09-11 03:00:00,132,56,238.9,18,90,78
2026-09-11 04:00:00,133,55,239.4,18,89,81
2026-09-11 05:00:00,131,57,235.0,20,90,81
2026-09-11 06:00:00,131,58,244.4,17,92,75
2026-09-11 07:00:00,133,54,233.3,18,95,74
2026-09-11 08:00:00,132,56,237.1,19,90,79
2026-09-11 09:00:00,132,55,237.5,19,92,78
2026-09-11 10:00:00,134,53,238.1,18,93,77
2026-09-11 11:00:00,133,56,240.1,18,91,78
2026-09-11 12:00:00,131,55,240.2,19,89,76
2026-09-11 13:00:00,133,56,237.8,18,92,79
2026-09-11 14:00:00,133,54,241.2,19,90,76
2026-09-11 15:00:00,134,58,233.8,18,89,78
2026-09-11 16:00:00,133,53,238.6,18,95,79
2026-09-11 17:00:00,133,53,240.7,18,91,77
2026-09-11 18:00:00,133,59,238.0,18,93,77
2026-09-11 19:00:00,133,54,237.1,18,93,78
2026-09-11 20:00:00,134,55,237.7,19,90,79
2026-09-11 21:00:00,133,55,238.6,19,92,81
2026-09-11 22:00:00,132,53,238.6,19,93,77
2026-09-11 23:00:00,133,52,240.3,19,92,79
2026-09-12 00:00:00,132,54,240.2,19,92,79
2026-09-12 01:00:00,133,54,237.3,19,93,79
2026-09-12 02:00:00,131,53,238.7,19,93,80
2026-09-12 03:00:00,134,56,236.9,19,93,81
2026-09-12 04:00:00,133,57,232.8,17,90,78
2026-09-12 05:00:00,134,56,242.0,17,89,79
2026-09-12 06:00:00,132,54,242.7,19,91,77
2026-09-12 07:00:00,133,57,238.6,19,92,77
2026-09-12 08:00:00,133,56,237.0,17,94,76
2026-09-12 09:00:00,133,58,236.3,19,96,77
2026-09-12 10:00:00,133,54,242.3,18,90,79
2026-09-12 11:00:00,134,53,235.8,19,94,78
2026-09-12 12:00:00,132,57,235.7,18,92,78
2026-09-12 13:00:00,132,55,231.4,20,91,78
2026-09-12 14:00:00,133,55,239.9,19,93,78
2026-09-12 15:00:00,131,60,242.6,19,93,78
2026-09-12 16:00:00,134,53,239.5,18,93,81
2026-09-12 17:00:00,133,56,236.4,19,95,78
2026-09-12 18:00:00,133,55,232.4,19,91,76
2026-09-12 19:00:00,133,57,239.4,18,93,82
