ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-07 12:00:00,135,64,244.0,21,98,81
2026-09-07 13:00:00,138,65,246.1,21,101,86
2026-09-07 14:00:00,136,66,247.9,19,99,83
2026-09-07 15:00:00,136,66,253.0,21,97,85
2026-09-07 16:00:00,137,65,247.3,19,97,84
2026-09-07 17:00:00,136,70,245.5,20,99,89
2026-09-07 18:00:00,138,66,247.0,19,99,83
2026-09-07 19:00:00,137,64,247.6,21,102,84
2026-09-07 20:00:00,136,69,247.6,20,97,84
2026-09-07 21:00:00,137,65,242.7,20,96,84
2026-09-07 22:00:00,138,68,245.0,21,98,82
2026-09-07 23:00:00,137,62,250.4,19,98,81
2026-09-08 00:00:00,137,65,249.2,20,100,83
2026-09-08 01:00:00,137,64,249.0,20,98,84
2026-09-08 02:00:00,137,64,246.2,20,99,83
2026-09-08 03:00:00,138,65,243.5,21,95,83
2026-09-08 04:00:00,138,67,248.3,21,101,85
2026-09-08 05:00:00,136,65,249.2,20,98,83
2026-09-08 06:00:00,136,68,253.5,20,95,81
2026-09-08 07:00:00,137,63,245.5,20,99,85
2026-09-08 08:00:00,137,66,249.9,20,97,86
2026-09-08 09:00:00,138,66,249.7,20,96,85
2026-09-08 10:00:00,138,60,242.5,21,99,83
2026-09-08 11:00:00,137,66,248.9,20,96,84
2026-09-08 12:00:00,137,64,245.4,19,99,83
2026-09-08 13:00:00,138,66,249.7,20,97,85
2026-09-08 14:00:00,137,67,250.2,20,98,86
2026-09-08 15:00:00,137,65,246.0,22,99,85
2026-09-08 16:00:00,138,64,249.2,22,95,84
2026-09-08 17:00:00,137,62,253.6,19,98,84
2026-09-08 18:00:00,138,65,249.0,20,101,85
2026-09-08 19:00:00,138,68,247.0,19,99,88
2026-09-08 20:00:00,136,59,248.6,20,99,86
2026-09-08 21:00:00,137,67,246.3,20,99,82
2026-09-08 22:00:00,136,66,245.5,21,95,82
2026-09-08 23:00:00,136,65,251.0,20,99,88
2026-09-09 00:00:00,136,66,247.5,21,98,85
2026-09-09 01:00:00,135,67,249.9,21,97,82
2026-09-09 02:00:00,136,64,246.5,20,102,82
2026-09-09 03:00:00,138,65,250.7,20,94,84
2026-09-09 04:00:00,136,65,249.7,22,102,86
2026-09-09 05:00:00,135,68,253.2,20,100,82
2026-09-09 06:00:00,136,65,248.6,20,100,85
2026-09-09 07:00:00,136,65,247.9,21,95,87
2026-09-09 08:00:00,138,67,246.9,19,97,83
2026-09-09 09:00:00,138,66,248.8,20,94,83
2026-09-09 10:00:00,138,65,247.9,21,97,89
2026-09-09 11:00:00,136,62,249.3,21,97,84
2026-09-09 12:00:00,137,64,245.4,21,99,84
2026-09-09 13:00:00,137,66,248.9,19,97,84
2026-09-09 14:00:00,137,65,248.0,20,98,84
2026-09-09 15:00:00,137,65,248.9,20,98,86
2026-09-09 16:00:00,137,66,242.4,21,96,84
2026-09-09 17:00:00,136,69,246.9,21,97,83
2026-09-09 18:00:00,136,65,252.1,21,96,83
2026-09-09 19:00:00,137,66,246.2,20,97,85
2026-09-09 20:00:00,137,65,247.2,21,97,82
